symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
BTC/USDT:USDT,15m,full,1445,658,0.574468085106383,1.4265348162462506,0.07786616736453142,1.4265348162462506,658.0
BTC/USDT:USDT,15m,is,937,484,0.5991735537190083,1.3068510163713027,0.07038482531685077,,
BTC/USDT:USDT,15m,oos,506,172,0.5058139534883721,0.046079794584702904,0.07786616736453124,,
BTC/USDT:USDT,15m,oos_warm,508,174,0.5057471264367817,0.05188189398689956,0.07786616736453107,,
BTC/USDT:USDT,1h,full,344,254,0.610236220472441,0.9893945855778715,0.050880373680385,0.9893945855778715,254.0
BTC/USDT:USDT,1h,is,220,169,0.6568047337278107,0.8817102472013572,0.04261686530739744,,
BTC/USDT:USDT,1h,oos,124,85,0.5176470588235295,0.0572268437909981,0.05088037368038528,,
BTC/USDT:USDT,1h,oos_warm,124,85,0.5176470588235295,0.0572268437909981,0.05088037368038528,,
ETH/USDT:USDT,15m,full,1373,806,0.5744416873449132,2.4319116459826806,0.06716887238616706,2.4319116459826806,806.0
ETH/USDT:USDT,15m,is,848,503,0.5785288270377733,1.5239265888594997,0.06716887238616706,,
ETH/USDT:USDT,15m,oos,520,298,0.5604026845637584,0.3100011324632842,0.06320855804134477,,
ETH/USDT:USDT,15m,oos_warm,525,303,0.5676567656765676,0.359750977358449,0.06320855804134504,,
ETH/USDT:USDT,1h,full,316,250,0.628,1.291865427922825,0.09923531382306282,1.291865427922825,250.0
ETH/USDT:USDT,1h,is,199,159,0.5723270440251572,0.4273802016549262,0.09923531382306282,,
ETH/USDT:USDT,1h,oos,114,88,0.7159090909090909,0.5541904731200539,0.021330275323461538,,
ETH/USDT:USDT,1h,oos_warm,117,91,0.7252747252747253,0.6056446805592521,0.02133027532346156,,
SOL/USDT:USDT,15m,full,1624,1172,0.5708191126279863,6.03449705418954,0.14523062600629208,6.03449705418954,1172.0
SOL/USDT:USDT,15m,is,1045,768,0.5651041666666666,2.8142495543180885,0.14523062600629208,,
SOL/USDT:USDT,15m,oos,567,392,0.576530612244898,0.7283227093936563,0.04623006200663411,,
SOL/USDT:USDT,15m,oos_warm,579,404,0.5816831683168316,0.8442676479376718,0.04623006200663437,,
SOL/USDT:USDT,1h,full,357,280,0.5464285714285714,0.9917816651373589,0.07808988476747407,0.9917816651373589,280.0
SOL/USDT:USDT,1h,is,233,187,0.5294117647058824,0.4754535649909289,0.0742376085663804,,
SOL/USDT:USDT,1h,oos,117,87,0.5747126436781609,0.3063432069392269,0.04405544250917245,,
