symbol,timeframe,segment,feature,remove_fraction,arm,seed,lens,threshold,num_candidates,num_trades,total_return,max_drawdown,win_rate,death_rate
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,default,-1,baseline,0.0453614344529218,220.0,169.0,0.8870676692253524,0.0426168653073974,0.6568047337278107,0.0828402366863905
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,filter_bot3,-1,baseline,0.0453614344529218,165.0,135.0,0.6788153182224985,0.0354631587792741,0.6444444444444445,0.0814814814814814
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,0,baseline,0.0453614344529218,165.0,133.0,0.6896172206818297,0.0320753272215213,0.6691729323308271,0.0977443609022556
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,1,baseline,0.0453614344529218,165.0,130.0,0.4895116213974242,0.0542556442650726,0.6230769230769231,0.0846153846153846
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,2,baseline,0.0453614344529218,165.0,131.0,0.7598924890029455,0.0485875990365773,0.6793893129770993,0.0610687022900763
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,3,baseline,0.0453614344529218,165.0,125.0,0.6093770608282881,0.0427066660618827,0.672,0.064
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,4,baseline,0.0453614344529218,165.0,137.0,0.7111475357637366,0.0426168653073975,0.6715328467153284,0.0948905109489051
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,5,baseline,0.0453614344529218,165.0,131.0,0.5219206792930948,0.0599385755684371,0.6335877862595419,0.0763358778625954
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,6,baseline,0.0453614344529218,165.0,127.0,0.4635153131227111,0.0520505265722456,0.6220472440944882,0.0944881889763779
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,7,baseline,0.0453614344529218,165.0,128.0,0.4220288506108409,0.0426168653073973,0.609375,0.0859375
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,8,baseline,0.0453614344529218,165.0,129.0,0.4188009783771629,0.0570502397720878,0.6046511627906976,0.0930232558139534
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,9,baseline,0.0453614344529218,165.0,126.0,0.6102403086142449,0.0470010938159061,0.6428571428571429,0.0873015873015873
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,10,baseline,0.0453614344529218,165.0,131.0,0.6318721391119781,0.0503213418742005,0.6564885496183206,0.0687022900763358
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,11,baseline,0.0453614344529218,165.0,126.0,0.4695712926263602,0.0460008164676597,0.626984126984127,0.0555555555555555
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,12,baseline,0.0453614344529218,165.0,128.0,0.5370531385974328,0.0520476129655188,0.6328125,0.078125
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,13,baseline,0.0453614344529218,165.0,132.0,0.5730530897702277,0.0503213418742008,0.6515151515151515,0.0909090909090909
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,14,baseline,0.0453614344529218,165.0,135.0,0.5958287682722032,0.0445651495189559,0.6444444444444445,0.0962962962962963
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,15,baseline,0.0453614344529218,165.0,131.0,0.7888195136013549,0.0357460754870663,0.6793893129770993,0.0687022900763358
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,16,baseline,0.0453614344529218,165.0,131.0,0.5125282991754704,0.0443221331715934,0.6259541984732825,0.0839694656488549
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,17,baseline,0.0453614344529218,165.0,132.0,0.5954108347389704,0.038394654893475,0.6439393939393939,0.0909090909090909
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,18,baseline,0.0453614344529218,165.0,133.0,0.7184458266241807,0.0426244925265857,0.6691729323308271,0.0676691729323308
BTC/USDT:USDT,1h,is,band_lower_slope_3_atr,0.25,matched_random,19,baseline,0.0453614344529218,165.0,129.0,0.4915282228786045,0.0426168653073973,0.627906976744186,0.0775193798449612
