symbol,timeframe,segment,arm,num_candidates,num_trades,win_rate,total_return,max_drawdown
BTC/USDT:USDT,1h,full,off,344,254,0.610236220472441,0.9893945855778716,0.050880373680385
BTC/USDT:USDT,1h,full,on,512,319,0.6081504702194357,1.4198497937280667,0.0716887150539217
BTC/USDT:USDT,1h,is,off,220,169,0.6568047337278107,0.8817102472013572,0.0426168653073974
BTC/USDT:USDT,1h,is,on,332,214,0.6401869158878505,1.154870040104259,0.0426168653073973
BTC/USDT:USDT,1h,oos_warm,off,124,85,0.5176470588235295,0.0572268437909981,0.0508803736803852
BTC/USDT:USDT,1h,oos_warm,on,180,105,0.5428571428571428,0.1229678582430844,0.0716887150539215
BTC/USDT:USDT,1h,oos,off,124,85,0.5176470588235295,0.0572268437909981,0.0508803736803852
BTC/USDT:USDT,1h,oos,on,180,105,0.5428571428571428,0.1229678582430844,0.0716887150539215
BTC/USDT:USDT,2h,full,off,161,120,0.6083333333333333,0.4868826564297352,0.0458064045496304
BTC/USDT:USDT,2h,full,on,237,153,0.6143790849673203,0.7077744083294522,0.0622124474188016
BTC/USDT:USDT,2h,is,off,105,80,0.6125,0.3625890535014647,0.0458064045496304
BTC/USDT:USDT,2h,is,on,151,99,0.6161616161616161,0.4674246434520219,0.0622124474188016
BTC/USDT:USDT,2h,oos_warm,off,56,40,0.6,0.0912187006118036,0.0340872676496404
BTC/USDT:USDT,2h,oos_warm,on,86,54,0.6111111111111112,0.163790192532151,0.0340872676496403
BTC/USDT:USDT,2h,oos,off,56,40,0.6,0.0912187006118036,0.0340872676496404
BTC/USDT:USDT,2h,oos,on,86,54,0.6111111111111112,0.163790192532151,0.0340872676496403
BTC/USDT:USDT,4h,full,off,60,52,0.6346153846153846,0.2580248461440513,0.0525647001677471
BTC/USDT:USDT,4h,full,on,96,78,0.6410256410256411,0.4331336223615077,0.0409783123874699
BTC/USDT:USDT,4h,is,off,40,37,0.6756756756756757,0.2211799469355113,0.0525647001677471
BTC/USDT:USDT,4h,is,on,67,56,0.6428571428571429,0.2998826623191846,0.0409783123874699
BTC/USDT:USDT,4h,oos_warm,off,20,15,0.5333333333333333,0.0301715560438087,0.0467661419317679
BTC/USDT:USDT,4h,oos_warm,on,29,22,0.6363636363636364,0.102509991020715,0.0292031218079034
BTC/USDT:USDT,4h,oos,off,20,15,0.5333333333333333,0.0301715560438087,0.0467661419317679
BTC/USDT:USDT,4h,oos,on,29,22,0.6363636363636364,0.102509991020715,0.0292031218079034
ETH/USDT:USDT,1h,full,off,316,250,0.628,1.291865427922825,0.0992353138230628
ETH/USDT:USDT,1h,full,on,454,321,0.6074766355140186,1.4973296166887766,0.1209510779071435
ETH/USDT:USDT,1h,is,off,199,159,0.5723270440251572,0.4273802016549262,0.0992353138230628
ETH/USDT:USDT,1h,is,on,279,198,0.5606060606060606,0.4619807461047161,0.1209510779071435
ETH/USDT:USDT,1h,oos_warm,off,117,91,0.7252747252747253,0.6056446805592521,0.0213302753234615
ETH/USDT:USDT,1h,oos_warm,on,175,123,0.6829268292682927,0.7081822885442441,0.0217311700782602
ETH/USDT:USDT,1h,oos,off,114,88,0.7159090909090909,0.5541904731200539,0.0213302753234615
ETH/USDT:USDT,1h,oos,on,170,118,0.6864406779661016,0.6895312808734492,0.0217311700782603
ETH/USDT:USDT,2h,full,off,158,130,0.5692307692307692,0.4633047185509753,0.0479197997771415
ETH/USDT:USDT,2h,full,on,230,160,0.55625,0.4922345009683395,0.0393612887793812
ETH/USDT:USDT,2h,is,off,92,78,0.5512820512820513,0.2419614097061574,0.0479197997771415
ETH/USDT:USDT,2h,is,on,134,96,0.5520833333333334,0.2738441983933036,0.0393612887793812
ETH/USDT:USDT,2h,oos_warm,off,66,52,0.5961538461538461,0.1782207620260809,0.0259578959480202
ETH/USDT:USDT,2h,oos_warm,on,96,64,0.5625,0.1714419258261639,0.0390128045048968
ETH/USDT:USDT,2h,oos,off,62,48,0.6041666666666666,0.1730633911600571,0.0254505232602257
ETH/USDT:USDT,2h,oos,on,90,59,0.559322033898305,0.1535914043569688,0.0390128045048968
ETH/USDT:USDT,4h,full,off,84,68,0.6176470588235294,0.367972332430133,0.0471152411781898
ETH/USDT:USDT,4h,full,on,132,92,0.6086956521739131,0.4810415237930607,0.0427919291615373
ETH/USDT:USDT,4h,is,off,53,43,0.6046511627906976,0.1981860095807307,0.0471152411781898
ETH/USDT:USDT,4h,is,on,85,57,0.631578947368421,0.3039126455722558,0.0427919291615373
ETH/USDT:USDT,4h,oos_warm,off,31,25,0.64,0.1417028086555727,0.0215191183469707
ETH/USDT:USDT,4h,oos_warm,on,47,35,0.5714285714285714,0.1358441294532184,0.0316089787201787
ETH/USDT:USDT,4h,oos,off,28,22,0.5909090909090909,0.0934849063160525,0.0215191183469708
ETH/USDT:USDT,4h,oos,on,40,28,0.5,0.0525764747700077,0.0316089787201787
SOL/USDT:USDT,1h,full,off,357,280,0.5464285714285714,0.9917816651373588,0.078089884767474
SOL/USDT:USDT,1h,full,on,534,375,0.5653333333333334,2.098613038892758,0.0934451120076234
SOL/USDT:USDT,1h,is,off,233,187,0.5294117647058824,0.4754535649909289,0.0742376085663804
SOL/USDT:USDT,1h,is,on,342,247,0.5587044534412956,1.0674505520868487,0.0934451120076234
SOL/USDT:USDT,1h,oos_warm,off,124,93,0.5806451612903226,0.3499453404686463,0.0409567573196418
SOL/USDT:USDT,1h,oos_warm,on,192,128,0.578125,0.4987604108669355,0.0471320334939043
SOL/USDT:USDT,1h,oos,off,117,87,0.5747126436781609,0.3063432069392269,0.0440554425091724
SOL/USDT:USDT,1h,oos,on,181,118,0.5677966101694916,0.4040913650618582,0.0704835718700419
SOL/USDT:USDT,2h,full,off,163,136,0.6176470588235294,0.8527849438520574,0.0449563940167908
SOL/USDT:USDT,2h,full,on,260,188,0.5957446808510638,1.1642230907321105,0.0583281986196558
SOL/USDT:USDT,2h,is,off,110,91,0.6153846153846154,0.5417351648459797,0.0317414659012916
SOL/USDT:USDT,2h,is,on,173,127,0.5984251968503937,0.7389165698775668,0.0417748866922753
