symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,gate
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1784072700000,105312,694,0.49855907780979825,0.3141146644369508,0.1291536162232616,9.57537340779951,1.096497159696863,0.24639769452449567,0.515702479338843,2420,1248,1.0,first_tap_free
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1784072700000,105312,663,0.48114630467571645,0.14004164054499796,0.16982984952865507,5.172867021252626,1.0470589735874891,0.2028657616892911,0.4640495867768595,2420,1123,1.0,first_tap_free
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1784072700000,105312,350,0.4657142857142857,-0.04793864310452264,0.20910164010830512,-2.2541937531707825,0.9686862570730645,0.16428571428571428,0.23305785123966943,2420,564,1.0,first_tap_free
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1689292800000,1784072700000,105312,389,0.4473007712082262,-0.13448234178126023,0.27293554225708927,-7.555360863408891,0.9156832427326074,0.11825192802056556,0.2421487603305785,2420,586,1.0,first_tap_free
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1689292800000,1784072700000,105312,376,0.4920212765957447,0.18718917254981843,0.08677326929464928,10.647614661129342,1.1155328739341424,0.2300531914893617,0.23264462809917355,2420,563,1.0,first_tap_free
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1689292800000,1784072700000,105312,368,0.47554347826086957,0.039357819006345746,0.16756925773886458,3.10354107117965,1.0241684585429334,0.18885869565217392,0.228099173553719,2420,552,1.0,first_tap_free
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1689292800000,1784072700000,105312,365,0.4794520547945205,0.11401248741293511,0.11067822674340656,7.204635505846569,1.0740325578918768,0.19863013698630136,0.2359504132231405,2420,571,1.0,first_tap_free
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752479100000,70208,450,0.5044444444444445,0.23007634346300965,0.1291536162232616,11.18825661005697,1.11283294466816,0.2611111111111111,0.5047021943573667,1595,805,1.0,first_tap_free
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752479100000,70208,430,0.4883720930232558,0.13321341720956753,0.16025054226652263,7.300843841784131,1.0699311017962152,0.22093023255813954,0.4589341692789969,1595,732,1.0,first_tap_free
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752479100000,70208,223,0.48878923766816146,0.04876639469024031,0.16551762997767547,5.430315122615098,1.0505529720654867,0.2219730941704036,0.22758620689655173,1595,363,1.0,first_tap_free
